month,sales_rep_id,rep_name,region,territory,manager_name,tenure_months,monthly_target,actual_sales_value,target_achievement_pct,visits_made,new_customers,returning_customers,active_status
01-06-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,60,271326.6,279450.6,1.03,151,2,39,TRUE
01-07-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,61,255366.22,303210.71,1.187,153,5,48,TRUE
01-08-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,62,271326.6,335608.89,1.237,149,3,38,TRUE
01-09-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,63,287286.99,323122.83,1.125,167,0,45,TRUE
01-10-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,64,303247.38,367803.26,1.213,158,5,42,TRUE
01-11-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,65,287286.99,249471.02,0.868,158,4,48,TRUE
01-12-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,66,159603.88,132670.87,0.831,137,6,47,TRUE
01-01-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,6,313679.26,360713.43,1.15,91,0,37,TRUE
01-02-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,7,276775.82,232083.77,0.839,81,4,41,TRUE
01-03-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,8,313679.26,299923.55,0.956,98,3,40,TRUE
01-04-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,9,332130.98,278883.85,0.84,93,8,50,TRUE
01-05-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,10,332130.98,402623.67,1.212,89,5,57,TRUE
01-06-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,11,313679.26,357968.65,1.141,87,7,46,TRUE
01-07-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,12,295227.54,282195.19,0.956,95,3,45,TRUE
01-08-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,13,313679.26,340327.43,1.085,106,9,45,TRUE
01-09-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,14,332130.98,371165.93,1.118,102,4,46,TRUE
01-10-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,15,350582.7,306438.6,0.874,98,4,42,TRUE
01-11-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,16,332130.98,275535.5,0.83,104,2,30,TRUE
01-12-2023,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,17,184517.21,203086.85,1.101,90,7,44,TRUE
01-01-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,18,313679.26,295257.15,0.941,94,2,40,TRUE
01-02-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,19,276775.82,212940.88,0.769,97,7,40,TRUE
01-03-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,20,313679.26,309082.29,0.985,86,3,44,TRUE
01-04-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,21,332130.98,282240.39,0.85,107,2,42,TRUE
01-05-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,22,332130.98,401621.4,1.209,100,2,48,TRUE
01-06-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,23,313679.26,290099.74,0.925,89,8,38,TRUE
01-07-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,24,295227.54,342543.12,1.16,91,3,52,TRUE
01-08-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,25,313679.26,371917.43,1.186,82,6,38,TRUE
01-09-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,26,332130.98,286118.14,0.861,71,7,55,TRUE
01-10-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,27,350582.7,378635.13,1.08,76,4,55,TRUE
01-11-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,28,332130.98,315269.68,0.949,92,5,48,TRUE
01-12-2024,SR-NO02,Geetika Sengupta,North,North-T2,Anamika Garde,29,184517.21,164091.44,0.889,87,4,46,TRUE
01-01-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,20,435499.44,341740.93,0.785,84,1,50,TRUE
01-02-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,21,384264.21,436779.03,1.137,96,1,49,TRUE
01-03-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,22,435499.44,403086.55,0.926,93,1,42,TRUE
01-04-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,23,461117.06,463285.62,1.005,96,5,46,TRUE
01-05-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,24,461117.06,502506.49,1.09,84,2,36,TRUE
01-06-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,25,435499.44,510331.56,1.172,87,6,63,TRUE
01-07-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,26,409881.83,375277.53,0.916,88,5,49,TRUE
01-08-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,27,435499.44,332634.59,0.764,97,3,55,TRUE
01-09-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,28,461117.06,548046.48,1.189,73,3,46,TRUE
01-10-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,29,486734.67,428622.25,0.881,95,8,29,TRUE
01-11-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,30,461117.06,479697.71,1.04,99,7,43,TRUE
01-12-2023,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,31,256176.14,318113.2,1.242,83,6,59,TRUE
01-01-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,32,435499.44,334955.07,0.769,84,3,48,TRUE
01-02-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,33,384264.21,402818.65,1.048,72,3,51,TRUE
01-03-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,34,435499.44,401897.85,0.923,89,4,50,TRUE
01-04-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,35,461117.06,527155.52,1.143,99,3,42,TRUE
01-05-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,36,461117.06,446452.13,0.968,76,8,57,TRUE
01-06-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,37,435499.44,540941.66,1.242,67,5,39,TRUE
01-07-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,38,409881.83,331111.93,0.808,76,4,38,TRUE
01-08-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,39,435499.44,522491.48,1.2,92,2,34,TRUE
01-09-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,40,461117.06,389662.08,0.845,73,3,51,TRUE
01-10-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,41,486734.67,375853.23,0.772,86,3,40,TRUE
01-11-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,42,461117.06,446374.57,0.968,80,4,44,TRUE
01-12-2024,SR-NO03,Ekaja Chaudhuri,North,North-T3,Ojas Kapoor,43,256176.14,258727.7,1.01,93,1,49,TRUE
01-01-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,10,485882.1,560346.17,1.153,175,3,40,TRUE
01-02-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,11,428719.5,468774.15,1.093,156,1,39,TRUE
01-03-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,12,485882.1,592840.08,1.22,161,4,50,TRUE
01-04-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,13,514463.4,575437.01,1.119,153,2,48,TRUE
01-05-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,14,514463.4,436531.23,0.849,131,1,40,TRUE
01-06-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,15,485882.1,469191.42,0.966,150,2,55,TRUE
01-07-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,16,457300.8,559936.13,1.224,119,6,38,TRUE
01-08-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,17,485882.1,588104.61,1.21,151,5,41,TRUE
01-09-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,18,514463.4,546142.88,1.062,128,3,37,TRUE
01-10-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,19,543044.7,587408.05,1.082,145,2,36,TRUE
01-11-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,20,514463.4,417905.13,0.812,138,7,64,TRUE
01-12-2023,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,21,285813,342982.29,1.2,152,3,50,TRUE
01-01-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,22,485882.1,487612.45,1.004,143,3,52,TRUE
01-02-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,23,428719.5,464494.62,1.083,146,6,44,TRUE
01-03-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,24,485882.1,443654.79,0.913,145,6,58,TRUE
01-04-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,25,514463.4,565191.66,1.099,161,4,55,TRUE
01-05-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,26,514463.4,528460.01,1.027,140,2,46,TRUE
01-06-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,27,485882.1,411017.41,0.846,136,5,43,TRUE
01-07-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,28,457300.8,495011.98,1.082,140,6,47,TRUE
01-08-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,29,485882.1,456521.53,0.94,139,5,58,TRUE
01-09-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,30,514463.4,578291.47,1.124,149,4,57,TRUE
01-10-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,31,543044.7,454535.84,0.837,147,3,45,TRUE
01-11-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,32,514463.4,532239.46,1.035,139,2,42,TRUE
01-12-2024,SR-NO04,Rajata Sule,North,North-T4,Sarthak Ramesh,33,285813,272390.53,0.953,143,6,44,TRUE
01-01-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,19,315691.18,368368.23,1.167,148,5,48,TRUE
01-02-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,20,278551.04,251235.62,0.902,135,3,47,TRUE
01-03-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,21,315691.18,269944.79,0.855,141,3,44,TRUE
01-04-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,22,334261.25,382020.3,1.143,155,3,44,TRUE
01-05-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,23,334261.25,352087.66,1.053,137,4,48,TRUE
01-06-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,24,315691.18,287634,0.911,151,1,49,TRUE
01-07-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,25,297121.11,288472.81,0.971,156,1,51,TRUE
01-08-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,26,315691.18,343413.16,1.088,137,2,40,TRUE
01-09-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,27,334261.25,336128.77,1.006,151,3,55,TRUE
01-10-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,28,352831.32,404650.84,1.147,151,1,47,TRUE
01-11-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,29,334261.25,411113.26,1.23,136,4,46,TRUE
01-12-2023,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,30,185700.7,207609.8,1.118,140,5,55,TRUE
01-01-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,31,315691.18,340765.07,1.079,145,4,45,TRUE
01-02-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,32,278551.04,248437.78,0.892,148,1,56,TRUE
01-03-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,33,315691.18,341554.79,1.082,132,4,54,TRUE
01-04-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,34,334261.25,354193.38,1.06,154,5,45,TRUE
01-05-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,35,334261.25,266303.8,0.797,154,2,43,TRUE
01-06-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,36,315691.18,387037.33,1.226,141,5,58,TRUE
01-07-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,37,297121.11,257733.04,0.867,155,2,42,TRUE
01-08-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,38,315691.18,285766.73,0.905,133,1,50,TRUE
01-09-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,39,334261.25,385497.3,1.153,142,5,42,TRUE
01-10-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,40,352831.32,290619.04,0.824,167,4,46,TRUE
01-11-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,41,334261.25,258419.67,0.773,157,5,57,TRUE
01-12-2024,SR-NO05,Krish Panchal,North,North-T5,Arjun Zachariah,42,185700.7,230634.33,1.242,155,2,49,TRUE
01-01-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,42,288739.52,304804.12,1.056,139,4,47,TRUE
01-02-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,43,254770.17,288971.71,1.134,146,1,49,TRUE
01-03-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,44,288739.52,282302.96,0.978,137,6,39,TRUE
01-04-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,45,305724.2,364749.9,1.193,141,2,45,TRUE
01-05-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,46,305724.2,317291.41,1.038,152,7,50,TRUE
01-06-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,47,288739.52,320262.07,1.109,133,2,41,TRUE
01-07-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,48,271754.84,255990.13,0.942,139,5,43,TRUE
01-08-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,49,288739.52,274252.43,0.95,142,5,59,TRUE
01-09-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,50,305724.2,251851.22,0.824,142,2,38,TRUE
01-10-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,51,322708.88,352982.59,1.094,164,3,38,TRUE
01-11-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,52,305724.2,365747.01,1.196,147,3,46,TRUE
01-12-2023,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,53,169846.78,200456.61,1.18,150,3,52,TRUE
01-01-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,54,288739.52,344389.04,1.193,131,4,33,TRUE
01-02-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,55,254770.17,290236.78,1.139,141,4,47,TRUE
01-03-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,56,288739.52,248148.68,0.859,153,10,47,TRUE
01-04-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,57,305724.2,352211.07,1.152,128,3,52,TRUE
01-05-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,58,305724.2,335671.69,1.098,152,4,41,TRUE
01-06-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,59,288739.52,283621.6,0.982,131,6,50,TRUE
01-07-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,60,271754.84,279554.99,1.029,139,5,41,TRUE
01-08-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,61,288739.52,349009.57,1.209,142,2,47,TRUE
01-09-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,62,305724.2,247844.28,0.811,143,1,41,TRUE
01-10-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,63,322708.88,263546.52,0.817,134,6,37,TRUE
01-11-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,64,305724.2,300319.49,0.982,129,3,60,TRUE
01-12-2024,SR-NO06,Banjeet Batta,North,North-T6,Dev Chhabra,65,169846.78,172490.61,1.016,147,5,55,TRUE
01-01-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,57,316964.3,326302.91,1.029,119,9,36,TRUE
01-02-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,58,279674.38,254125.84,0.909,146,5,49,TRUE
01-03-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,59,316964.3,357416.87,1.128,131,2,51,TRUE
01-04-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,60,335609.26,325972.81,0.971,117,1,33,TRUE
01-05-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,61,335609.26,388468.81,1.158,156,4,45,TRUE
01-06-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,62,316964.3,379092.52,1.196,127,3,47,TRUE
01-07-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,63,298319.34,287392.02,0.963,129,2,42,TRUE
01-08-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,64,316964.3,381443.51,1.203,132,2,46,TRUE
01-09-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,65,335609.26,326533.31,0.973,126,1,48,TRUE
01-10-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,66,354254.21,293881.84,0.83,137,2,46,TRUE
01-11-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,67,335609.26,396269.78,1.181,135,3,55,TRUE
01-12-2023,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,68,186449.59,181794.85,0.975,138,5,31,TRUE
01-01-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,69,316964.3,356866.43,1.126,121,8,38,TRUE
01-02-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,70,279674.38,327199.85,1.17,126,1,40,TRUE
01-03-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,71,316964.3,281672.12,0.889,135,5,54,TRUE
01-04-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,72,335609.26,382204.38,1.139,138,6,47,TRUE
01-05-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,73,335609.26,333024.57,0.992,137,5,38,TRUE
01-06-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,74,316964.3,275639.42,0.87,119,5,47,TRUE
01-07-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,75,298319.34,289350.76,0.97,135,4,39,TRUE
01-08-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,76,316964.3,350807.35,1.107,131,4,40,TRUE
01-09-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,77,335609.26,291056.05,0.867,123,1,50,TRUE
01-10-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,78,354254.21,325178.36,0.918,137,6,40,TRUE
01-11-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,79,335609.26,401560.98,1.197,139,1,44,TRUE
01-12-2024,SR-NO07,Jeevika Choudhary,North,North-T7,Arjun Zachariah,80,186449.59,147349.03,0.79,132,2,64,TRUE
01-01-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,48,303554.53,250558.56,0.825,136,5,49,TRUE
01-02-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,49,267842.23,252178.19,0.942,139,4,54,TRUE
01-03-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,50,303554.53,250858.26,0.826,143,6,57,TRUE
01-04-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,51,321410.68,275441.38,0.857,139,5,43,TRUE
01-05-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,52,321410.68,307729.5,0.957,138,8,52,TRUE
01-06-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,53,303554.53,277886.17,0.915,149,1,41,TRUE
01-07-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,54,285698.38,280830.69,0.983,150,3,39,TRUE
01-08-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,55,303554.53,237116.42,0.781,126,7,43,TRUE
01-09-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,56,321410.68,374908.07,1.166,145,5,38,TRUE
01-10-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,57,339266.83,320518.4,0.945,159,4,58,TRUE
01-11-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,58,321410.68,364768.3,1.135,134,3,46,TRUE
01-12-2023,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,59,178561.49,218386.24,1.223,125,4,38,TRUE
01-01-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,60,303554.53,230630.4,0.76,136,3,63,TRUE
01-02-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,61,267842.23,318820.2,1.19,121,3,60,TRUE
01-03-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,62,303554.53,315042.6,1.038,135,3,42,TRUE
01-04-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,63,321410.68,317711.2,0.988,135,5,47,TRUE
01-05-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,64,321410.68,392561.63,1.221,123,3,47,TRUE
01-06-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,65,303554.53,272988.51,0.899,138,5,49,TRUE
01-07-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,66,285698.38,269983.06,0.945,151,3,50,TRUE
01-08-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,67,303554.53,362996.81,1.196,129,2,55,TRUE
01-09-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,68,321410.68,375364.07,1.168,123,2,39,TRUE
01-10-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,69,339266.83,345750.32,1.019,127,7,46,TRUE
01-11-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,70,321410.68,359117.63,1.117,127,4,46,TRUE
01-12-2024,SR-NO08,Qabil Keer,North,North-T8,Ojas Kapoor,71,178561.49,205333.94,1.15,134,6,43,TRUE
01-01-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,35,345345.88,414037.13,1.199,98,4,52,TRUE
01-02-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,36,304716.95,302923.61,0.994,87,2,40,TRUE
01-03-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,37,345345.88,306137.95,0.886,67,8,57,TRUE
01-04-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,38,365660.34,363035.26,0.993,91,7,43,TRUE
01-05-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,39,365660.34,345340.08,0.944,75,7,51,TRUE
01-06-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,40,345345.88,374505.78,1.084,99,3,32,TRUE
01-07-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,41,325031.42,373484.23,1.149,91,4,48,TRUE
01-08-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,42,345345.88,384055.94,1.112,86,3,51,TRUE
01-09-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,43,365660.34,427915.05,1.17,87,3,41,TRUE
01-10-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,44,385974.81,466941.06,1.21,82,4,47,TRUE
01-11-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,45,365660.34,453550.82,1.24,90,4,42,TRUE
01-12-2023,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,46,203144.64,206610.66,1.017,108,3,43,TRUE
01-01-2024,SR-NO09,Triya Balay,North,North-T9,Arjun Zachariah,47,345345.88,415611.48,1.203,80,2,45,TRUE
